personnummer;syfte;fnamn;enamn;röstlängdsnr;rd;rf;kf;fo;eu;st;inte;
190003139813;Tysk medborgare;Tretton;Trettonsson;033033631;-;Regionfullmäktige i Region Uppsala, Uppsala läns mellersta;Kommunfullmäktige i Knivsta;-;Europaparlamentet;-;-;
199909142383;Indisk medborgare;Fjorton;Fjortonsson;04840104209;-;Regionfullmäktige i Region Sörmland;Kommunfullmäktige i Eskilstuna;-;-;-;-;
190405159815;Utlandssvensk;Femton;Femtonsson;058035056;Riksdagen, Östergötlands län;-;-;-;Europaparlamentet;-;-;
190106169816;;Sexton;Sextonsson;066201064;Riksdagen, Jönköpings län;Regionfullmäktige i Jönköpings län, Tredje valkretsen;Kommunfullmäktige i Gislaved;-;Europaparlamentet;-;-;
193211179217;Utlandssvensk;Sjutton;Sjuttonsson;0180171723;Riksdagen, Kronobergs län;-;-;-;-;-;-;
195211182018;Kommunal folkomröstning;Arton;Artonsson;0885080857;Riksdagen, Kalmar län;Regionfullmäktige i Region Kalmar län, Kalmar 6 Borgholm Mörbylånga;Kommunfullmäktige i Borgholm;Borgholm;Europaparlamentet;-;-;
195609192819;Gotland;Nitton;Nittonsson;0980010966;Riksdagen, Gotlands län;-;Kommunfullmäktige i Gotland;-;Europaparlamentet;-;-;
193407207020;Kommunvalkrets;Tjugo;Tjugosson;1080100224;Riksdagen, Blekinge län;Region Blekinge, Karlskronakretsen;Kommunfullmäktige i Karlskrona, Karlskrona Ö;-;Europaparlamentet;-;-;
196007212613;;Tjugoett;Tjugoettsson;0191010168;Riksdagen, Stockholms län;Regionfullmäktige i Region Stockholm, Nordväst;Kommunfullmäktige i Sigtuna;-;Europaparlamentet;-;-;
192706229222;Allt på;Tjugotvå;Tjugotvåsson;1284001222;Riksdagen, Skåne läns västra valkrets;Regionfullmäktige i Region Skåne, Nordvästkretsen;Kommunfullmäktige i Höganäs;Höganäs;Europaparlamentet;Sametinget;-;
190512239823;Tysk medborgare;Tjugotre;Tjugotresson;033033639;-;Regionfullmäktige i Region Uppsala, Uppsala läns mellersta;Kommunfullmäktige i Knivsta;-;Europaparlamentet;-;-;
198003242396;Indisk medborgare;Tjugofyra;Tjugofyrasson;04840104103;-;Regionfullmäktige i Region Sörmland;Kommunfullmäktige i Eskilstuna;-;-;-;-;
199601259725;Utlandssvensk;Tjugofem;Tjugofemsson;05803505202;Riksdagen, Östergötlands län;-;-;-;Europaparlamentet;-;-;
195401263826;;Tjugosex;Tjugosexsson;0662010661;Riksdagen, Jönköpings län;Regionfullmäktige i Jönköpings län, Tredje valkretsen;Kommunfullmäktige i Gislaved;-;Europaparlamentet;-;-;
195401277024;Utlandssvensk;Tjugosju;Tjugosjusson;0180272762;Riksdagen, Stockholms stad;-;-;-;-;-;-;
198106282380;Kommunal folkomröstning;Tjugoåtta;Tjugoåttasson;08850808107;Riksdagen, Kalmar län;Regionfullmäktige i Region Kalmar län, Kalmar 6 Borgholm Mörbylånga;Kommunfullmäktige i Borgholm;Borgholm;Europaparlamentet;-;-;
199501292388;Gotland;Tjugonio;Tjugoniosson;09800109199;Riksdagen, Gotlands län;-;Kommunfullmäktige i Gotland;-;Europaparlamentet;-;-;
197903309230;Utlandssvensk som trillat ur;Trettio;Trettiosson;-;Riksdagen, Blekinge län;-;-;-;-;-;-;
199801312381;Ska inte vara med;Trettioett;Trettioettsson;10801002207;Riksdagen, Blekinge län;Region Blekinge, Karlskronakretsen;Kommunfullmäktige i Karlskrona, Karlskrona Ö;-;Europaparlamentet;-;inte;
